Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
495.0,883.0,567.0,316.0,98972.0,2019,Baraga,8,0
2117.0,4179.0,2516.0,1663.0,466672.0,2019,Barry,9,0
2124.0,4199.0,2517.0,1682.0,453948.0,2019,Barry,9,0
2116.0,4176.0,2499.0,1677.0,449576.0,2019,Barry,9,0
2074.0,4100.0,2457.0,1643.0,440972.0,2019,Barry,9,0
2099.0,4153.0,2507.0,1646.0,442020.0,2019,Barry,9,0
2074.0,4103.0,2472.0,1631.0,436828.0,2019,Barry,9,0
2085.0,4085.0,2474.0,1611.0,438406.0,2019,Barry,9,0
2070.0,4077.0,2462.0,1615.0,432528.0,2019,Barry,9,0
2059.0,4052.0,2446.0,1606.0,425834.0,2019,Barry,9,0
2055.0,4044.0,2441.0,1603.0,437111.0,2019,Barry,9,0
2037.0,3993.0,2409.0,1584.0,432476.0,2019,Barry,9,0
2021.0,3945.0,2382.0,1563.0,424830.0,2019,Barry,9,0
2078.0,4092.0,2465.0,1627.0,440100.0,2019,Barry,9,0
8157.0,14346.0,9209.0,5137.0,1652277.0,2019,Bay,10,0
7973.0,13987.0,8980.0,5007.0,1599719.0,2019,Bay,10,0
7894.0,13865.0,8894.0,4971.0,1587727.0,2019,Bay,10,0
7877.0,13861.0,8892.0,4969.0,1565076.0,2019,Bay,10,0
7779.0,13704.0,8787.0,4917.0,1542086.0,2019,Bay,10,0
7690.0,13547.0,8664.0,4883.0,1529088.0,2019,Bay,10,0
7607.0,13323.0,8538.0,4785.0,1512291.0,2019,Bay,10,0
7554.0,13232.0,8485.0,4747.0,1504679.0,2019,Bay,10,0
7505.0,13205.0,8421.0,4784.0,1492871.0,2019,Bay,10,0
7425.0,13073.0,8335.0,4738.0,1488154.0,2019,Bay,10,0
7369.0,12954.0,8257.0,4697.0,1474519.0,2019,Bay,10,0
7297.0,12855.0,8169.0,4686.0,1440445.0,2019,Bay,10,0
7677.0,13496.0,8636.0,4860.0,1532411.0,2019,Bay,10,0
764.0,1417.0,941.0,476.0,149274.0,2019,Benzie,11,0
743.0,1378.0,927.0,451.0,148246.0,2019,Benzie,11,0
752.0,1399.0,933.0,466.0,151155.0,2019,Benzie,11,0
751.0,1405.0,932.0,473.0,145163.0,2019,Benzie,11,0
750.0,1388.0,933.0,455.0,143515.0,2019,Benzie,11,0
748.0,1397.0,937.0,460.0,142010.0,2019,Benzie,11,0
725.0,1356.0,909.0,447.0,139358.0,2019,Benzie,11,0
704.0,1311.0,874.0,437.0,135532.0,2019,Benzie,11,0
681.0,1273.0,847.0,426.0,129056.0,2019,Benzie,11,0
667.0,1239.0,826.0,413.0,125062.0,2019,Benzie,11,0
658.0,1223.0,812.0,411.0,120984.0,2019,Benzie,11,0
652.0,1186.0,799.0,387.0,110932.0,2019,Benzie,11,0
716.0,1331.0,889.0,442.0,136691.0,2019,Benzie,11,0
9880.0,19222.0,10648.0,8574.0,2194839.0,2019,Berrien,12,0
9728.0,18844.0,10516.0,8328.0,2167223.0,2019,Berrien,12,0
9644.0,18678.0,10429.0,8249.0,2137659.0,2019,Berrien,12,0
9539.0,18456.0,10334.0,8122.0,2089351.0,2019,Berrien,12,0
9591.0,18486.0,10379.0,8107.0,2112168.0,2019,Berrien,12,0
9558.0,18340.0,10318.0,8022.0,2081934.0,2019,Berrien,12,0
9482.0,18281.0,10233.0,8048.0,2081325.0,2019,Berrien,12,0
9437.0,18233.0,10194.0,8039.0,2067169.0,2019,Berrien,12,0
9458.0,18329.0,10186.0,8143.0,2069531.0,2019,Berrien,12,0
9414.0,18259.0,10089.0,8170.0,2070883.0,2019,Berrien,12,0
9336.0,18092.0,10006.0,8086.0,2064214.0,2019,Berrien,12,0
9243.0,17830.0,9907.0,7923.0,2015612.0,2019,Berrien,12,0
9526.0,18421.0,10270.0,8151.0,2095992.0,2019,Berrien,12,0
2195.0,4334.0,2604.0,1730.0,455120.0,2019,Branch,13,0
2156.0,4235.0,2567.0,1668.0,440799.0,2019,Branch,13,0
2123.0,4174.0,2527.0,1647.0,439364.0,2019,Branch,13,0
2166.0,4249.0,2572.0,1677.0,446302.0,2019,Branch,13,0
2130.0,4205.0,2523.0,1682.0,442244.0,2019,Branch,13,0
2107.0,4117.0,2487.0,1630.0,435604.0,2019,Branch,13,0
2109.0,4189.0,2505.0,1684.0,435604.0,2019,Branch,13,0
2110.0,4236.0,2503.0,1733.0,434942.0,2019,Branch,13,0
2092.0,4220.0,2475.0,1745.0,434152.0,2019,Branch,13,0
2098.0,4276.0,2488.0,1788.0,440599.0,2019,Branch,13,0
2082.0,4222.0,2455.0,1767.0,445041.0,2019,Branch,13,0
2032.0,4084.0,2380.0,1704.0,430915.0,2019,Branch,13,0
2117.0,4212.0,2507.0,1705.0,440057.0,2019,Branch,13,0
10672.0,19665.0,12026.0,7639.0,2293731.0,2019,Calhoun,14,0
10493.0,19240.0,11826.0,7414.0,2235113.0,2019,Calhoun,14,0
10536.0,19407.0,11886.0,7521.0,2246578.0,2019,Calhoun,14,0
10413.0,19218.0,11766.0,7452.0,2179896.0,2019,Calhoun,14,0
10427.0,19290.0,11804.0,7486.0,2184608.0,2019,Calhoun,14,0
10292.0,19160.0,11670.0,7490.0,2157715.0,2019,Calhoun,14,0
10213.0,19071.0,11588.0,7483.0,2154753.0,2019,Calhoun,14,0
10106.0,19014.0,11491.0,7523.0,2132927.0,2019,Calhoun,14,0
10026.0,18862.0,11381.0,7481.0,2109484.0,2019,Calhoun,14,0
10040.0,18952.0,11357.0,7595.0,2134880.0,2019,Calhoun,14,0
9925.0,18747.0,11226.0,7521.0,2117502.0,2019,Calhoun,14,0
9892.0,18735.0,11176.0,7559.0,2083521.0,2019,Calhoun,14,0
10253.0,19113.0,11600.0,7514.0,2169226.0,2019,Calhoun,14,0
2831.0,5489.0,3241.0,2248.0,636566.0,2019,Cass,15,0
2830.0,5481.0,3242.0,2239.0,626820.0,2019,Cass,15,0
2825.0,5465.0,3237.0,2228.0,634488.0,2019,Cass,15,0
2814.0,5456.0,3229.0,2227.0,622343.0,2019,Cass,15,0
2817.0,5418.0,3239.0,2179.0,623526.0,2019,Cass,15,0
2766.0,5291.0,3169.0,2122.0,609650.0,2019,Cass,15,0
2763.0,5329.0,3175.0,2154.0,617747.0,2019,Cass,15,0
2748.0,5278.0,3143.0,2135.0,612044.0,2019,Cass,15,0
2730.0,5201.0,3109.0,2092.0,604428.0,2019,Cass,15,0
2689.0,5113.0,3051.0,2062.0,593091.0,2019,Cass,15,0
2708.0,5240.0,3084.0,2156.0,603044.0,2019,Cass,15,0
2691.0,5219.0,3058.0,2161.0,602375.0,2019,Cass,15,0
2768.0,5332.0,3165.0,2167.0,615510.0,2019,Cass,15,0
814.0,1427.0,931.0,496.0,152436.0,2019,Charlevoix,16,0
819.0,1444.0,937.0,507.0,154155.0,2019,Charlevoix,16,0
804.0,1403.0,920.0,483.0,152023.0,2019,Charlevoix,16,0
823.0,1470.0,948.0,522.0,154346.0,2019,Charlevoix,16,0
829.0,1465.0,952.0,513.0,155265.0,2019,Charlevoix,16,0
849.0,1500.0,973.0,527.0,157497.0,2019,Charlevoix,16,0
834.0,1477.0,957.0,520.0,159051.0,2019,Charlevoix,16,0
826.0,1457.0,944.0,513.0,155051.0,2019,Charlevoix,16,0
815.0,1423.0,928.0,495.0,147981.0,2019,Charlevoix,16,0
796.0,1366.0,902.0,464.0,142589.0,2019,Charlevoix,16,0
794.0,1365.0,903.0,462.0,139851.0,2019,Charlevoix,16,0
780.0,1342.0,888.0,454.0,137807.0,2019,Charlevoix,16,0
815.0,1428.0,932.0,496.0,150671.0,2019,Charlevoix,16,0
1618.0,2900.0,1944.0,956.0,300176.0,2019,Cheboygan,17,0
1631.0,2937.0,1965.0,972.0,302302.0,2019,Cheboygan,17,0
1618.0,2932.0,1953.0,979.0,310315.0,2019,Cheboygan,17,0
1621.0,2975.0,1972.0,1003.0,310396.0,2019,Cheboygan,17,0
1627.0,2970.0,1980.0,990.0,310471.0,2019,Cheboygan,17,0
1612.0,2946.0,1964.0,982.0,306146.0,2019,Cheboygan,17,0
1618.0,2952.0,1963.0,989.0,306892.0,2019,Cheboygan,17,0
1590.0,2888.0,1920.0,968.0,303261.0,2019,Cheboygan,17,0
1562.0,2808.0,1880.0,928.0,289421.0,2019,Cheboygan,17,0
1514.0,2706.0,1816.0,890.0,285241.0,2019,Cheboygan,17,0
