group,avg_unemp_baseline_cutoff,baseline_years,sum_dl_effect,se,n_obs
high_unemp,6,2014-2015-2016,0.006432491642301263,0.0017734748360145366,3198
low_unemp,6,2014-2015-2016,0.004521633240634696,0.0017061431290368808,3276
