group,median_cutoff,pre_avg,post_avg,change
high_intensity,247.56701394904536,263.34181061690987,159.1169580211243,-104.22485259578556
low_intensity,247.56701394904536,254.63903812577533,154.02711557539394,-100.6119225503814
