cid,tau_i_pp
26001,-0.018112763079544
26003,0.00912418586195265
26005,-0.146672093711674
26007,-0.0318460771425825
26009,-0.0611775343175323
26011,-0.0677315919999103
26013,-0.0317493915760685
26015,-0.177039757956603
26017,-0.0727676484996064
26019,-0.0618488669149781
26021,0.124539337663959
26023,-0.015472376704273
26025,0.0244993467489402
26027,0.0240686881610762
26029,-0.0897922792194705
26031,-0.0327345667166321
26033,-0.0234236465644469
26035,0.0249942405426176
26037,-0.357613630337536
26039,-0.0379128108867839
26041,-0.0591285562476163
26043,-0.0611801950785944
26045,-0.309005020745387
26047,-0.00266390851481137
26049,0.305343140905157
26051,-0.050402034442547
26053,0.0558779931354046
26055,-0.04276903275876
26057,-0.0164141710640842
26059,-0.00537715535776824
26061,0.00125009100456338
26063,-0.0597389256463187
26065,-0.0218387367167203
26067,-0.158638190522139
26069,-0.0172469441501301
26071,0.00415531114069989
26073,0.00514101996696468
26075,0.0109150012166458
26077,-0.0486918170319101
26079,0.00735757056962417
26081,-0.13777417454717
26083,-0.0875010987963546
26085,0.0128003247430364
26087,-0.173314446500029
26089,0.0202508551443707
26091,-0.0519670091669706
26093,-0.467667309949524
26095,0.0553300607090633
26097,-0.106464487409855
26099,0.312383913886992
26101,-0.0190819073123028
26103,-0.0354549770950195
26105,-0.0166396415442959
26107,0.01615729308424
26109,0.0367678652522861
26111,-0.269440022147545
26113,-0.0144325884962857
26115,-0.0957745209340821
26117,-0.0271230731738442
26119,-0.0168550573011743
26121,0.0950256329574777
26123,-0.0174167648772411
26125,0.0542228180413719
26127,-0.0394695910411992
26129,0.00434394278745561
26131,-0.0394804342684238
26133,-0.017760774963408
26135,-0.0187177874968528
26137,-0.0861149102104129
26139,-0.344616338140043
26141,-0.127703206754237
26143,-0.0332922272305765
26145,0.113829111676401
26147,-0.0717038459720702
26149,-0.0573239074053334
26151,-0.0409612091504402
26153,-0.105794610520796
26155,-0.140060197901902
26157,-0.0638916355659383
26159,-0.086342075947303
26161,-0.0941960829775164
26163,2.60121966356721
26165,-0.0162136418447078
