county_id,YEAR,emp_rate_m,lfpr_m,fpl130_m,snap_m,income_m
26001,2016,0.102806260118726,0.400172767519706,0.221189735614308,0.612,38160
26003,2016,0.0761904761904762,0.426671592168452,0.197903763696999,0.549,41270
26005,2016,0.0473072248725716,0.621164831945556,0.173017271295481,0.383,55630
26007,2016,0.0782736997417927,0.564579949185722,0.226504833815539,0.445,39832
26009,2016,0.0781354475117012,0.541201406120761,0.193818579234973,0.525,48825
26011,2016,0.107785359801489,0.500038774718883,0.260080885765431,0.493,39240
26013,2016,0.0679799150251062,0.353206002728513,0.199079072721499,0.521,42810
26015,2016,0.0622566764565262,0.619895420962381,0.143979317547554,0.421,56883
26017,2016,0.0814742775484281,0.583114403101672,0.215693953577228,0.414,45851
26019,2016,0.0756362767355718,0.5736513811776,0.167947081350818,0.508,48694
26021,2016,0.0782344512842284,0.605916398713826,0.2473524299797,0.419,45980
26023,2016,0.0552600921845717,0.573891052845765,0.246683822101379,0.398,46428
26025,2016,0.0843523479357075,0.592242795281469,0.235694575030003,0.391,44681
26027,2016,0.0893950918771768,0.591484928133362,0.193849746983262,0.444,47991
26029,2016,0.0749008322314692,0.596474135931338,0.187608628181254,0.46,48603
26031,2016,0.125224378151979,0.539696452461134,0.245253854385478,0.513,41023
26033,2016,0.0997291887436713,0.530945236309077,0.254926006721302,0.398,42287
26035,2016,0.124563823744218,0.48860076920027,0.313604674324414,0.486,34911
26037,2016,0.0525053511101942,0.628965808084085,0.146804858554226,0.377,62646
26039,2016,0.10881448582166,0.504611671407637,0.237721369539551,0.482,41034
26041,2016,0.0752764055516349,0.568030733255387,0.236502641089797,0.461,42353
26043,2016,0.0686249895388735,0.559279194945004,0.217796809931641,0.443,43373
26045,2016,0.0672035347776511,0.639220107736285,0.158494454436451,0.393,56472
26047,2016,0.075068270292255,0.630739912778979,0.159148857547577,0.43,51096
26049,2016,0.119804256507773,0.567993067971711,0.273642988857502,0.384,43246
26051,2016,0.0933513121045535,0.457114408989616,0.27622009569378,0.502,39629
26053,2016,0.084886452623336,0.472577899489305,0.2763863281804,0.497,35833
26055,2016,0.058327403624796,0.647119369430375,0.146535057399622,0.408,55597
26057,2016,0.079825327510917,0.501928809398562,0.245540796963947,0.396,42145
26059,2016,0.0759676487579434,0.562012987012987,0.244998309859155,0.42,44458
26061,2016,0.073912229227792,0.533379948723071,0.295600011647885,0.408,39080
26063,2016,0.0659854404594938,0.563403070439494,0.20516088128071,0.477,43082
26065,2016,0.0887921127442086,0.636591939762129,0.27589679989477,0.317,46842
26067,2016,0.0815204560018888,0.582437874472056,0.214924031884974,0.37,50037
26069,2016,0.114784840110541,0.467494117104231,0.241295091186631,0.546,38900
26071,2016,0.0769394714407502,0.48,0.242651973624786,0.533,33137
26073,2016,0.0991642558662809,0.625169555388094,0.348836773568997,0.302,40706
26075,2016,0.0893061629944399,0.564050085213345,0.220126400267514,0.397,47709
26077,2016,0.0728241303107026,0.657686273377417,0.232548080388969,0.337,49693
26079,2016,0.0893571619098426,0.533931496119063,0.227838092990323,0.45,42612
26081,2016,0.0631848511742013,0.684815706112025,0.200701141050516,0.32,54673
26083,2016,0.0664488017429194,0.491171749598716,0.24997707473636,0.602,41472
26085,2016,0.121347723085022,0.390401808652759,0.358627575565036,0.581,30824
26087,2016,0.0915862859325757,0.586011500846474,0.164206198900642,0.402,54174
26089,2016,0.0659128249734223,0.555633122113629,0.126880823251286,0.579,59018
26091,2016,0.0738807726037946,0.585631967931855,0.204099764504389,0.406,49300
26093,2016,0.0547482634487654,0.661947817448331,0.0836839852406521,0.378,76764
26095,2016,0.133913043478261,0.417877906976744,0.272566371681416,0.506,38167
26097,2016,0.111801242236025,0.546689303904924,0.22459981600736,0.504,40747
26099,2016,0.0752229800629591,0.636168761851052,0.169860777746986,0.387,55951
26101,2016,0.106998720346491,0.492987819672927,0.219643475250952,0.521,42530
26103,2016,0.0712744331508991,0.564530367231638,0.21665870209309,0.409,46822
26105,2016,0.0974810716365754,0.585806891845786,0.240272387269776,0.455,43497
26107,2016,0.107490542244641,0.549351585014409,0.295436675789998,0.416,41827
26109,2016,0.0708928571428571,0.571837026447463,0.215577802709934,0.466,41235
26111,2016,0.0763273258645884,0.60938868193354,0.168748780487805,0.364,54852
26113,2016,0.0878587196467991,0.56871442919317,0.225598923283984,0.437,42077
26115,2016,0.0695667584589797,0.607592210653613,0.152813444108761,0.393,56968
26117,2016,0.0860891250135531,0.551120406334031,0.244912701186731,0.395,43126
26119,2016,0.137709923664122,0.404021712311868,0.241624918318449,0.563,37145
26121,2016,0.104306830402921,0.587795125106583,0.258973225906039,0.388,43920
26123,2016,0.0888299155609168,0.542255363683935,0.248605138850643,0.425,44049
26125,2016,0.0626308055731687,0.663311674949585,0.12921805659322,0.37,69850
26127,2016,0.0827187916481564,0.543273640005792,0.282699965206634,0.447,41952
26129,2016,0.107726167033476,0.488457621364717,0.276004636785162,0.496,36941
26131,2016,0.119443197126179,0.404835484457371,0.24557834290402,0.59,35038
26133,2016,0.0877703826955075,0.521248915871639,0.301506525356924,0.44,39247
26135,2016,0.103141859727071,0.451950659781985,0.27335823593204,0.551,35175
26137,2016,0.0681932985351069,0.603955865154828,0.18950292520729,0.435,50793
26139,2016,0.0528531750612874,0.682699885951655,0.140447042512132,0.348,61367
26141,2016,0.124245374878286,0.460786073223259,0.199420426065163,0.563,41570
26143,2016,0.140238416554206,0.427993839045052,0.277698207551167,0.553,35959
26145,2016,0.0953492746727452,0.57368390983362,0.245683043913179,0.414,43712
