Event_Time,ATT,Std_Error,CI_Lower,CI_Upper,Significant
-8,-1.0730161902780846,0.4951962732489077,-2.043583051124399,-0.10244932943177032,Yes
-7,1.2851117672830572,0.9018930144074409,-0.48256605886379056,3.052789593429905,No
-6,0.11527173958790943,0.28690625047141205,-0.44705417827548594,0.6775976574513047,No
-5,0.05305085472972643,0.23019416749378308,-0.3981214230092691,0.504223132468722,No
-4,0.26985226079263563,0.2765206083710745,-0.2721181725977752,0.8118226941830464,No
-3,-0.17407506298117137,0.5013229115282865,-1.1566499142013724,0.8084997882390297,No
-2,-0.6920773178685421,0.45002134119853354,-1.5741029388920789,0.18994830315499467,No
-1,-0.21169177863214617,0.13429116185957052,-0.47489761931894325,0.05151406205465092,No
0,-0.6693805761278844,0.33977850585143327,-1.3353342103175254,-0.003426941938243333,Yes
1,-0.5762195013461713,0.259908852296669,-1.085631491110783,-0.06680751158155962,Yes
