county_id,year,population_total,population_18_49,poverty_rate,bachelor_share
26141,2020,12687,3413,13.4,18.8
26141,2021,12976,3524,13.1,19.2
26141,2022,13083,3580,12.7,19.8
26143,2013,24281,6772,22.2,15
26143,2014,24141,6710,22.1,15
26143,2015,24068,6615,20.6,14.4
26143,2016,23900,6492,19.7,13.9
26143,2017,23934,6500,19.8,14.2
26143,2018,23877,6392,18.2,14.9
26143,2019,23851,6289,16.7,15.5
26143,2020,23863,6356,15.6,16.3
26143,2021,23458,6250,16.8,17.1
26143,2022,23556,6323,16.2,18.5
26145,2013,198841,80151,19.2,18.8
26145,2014,197727,79209,18.1,19.6
26145,2015,196479,78188,18.3,20.2
26145,2016,195201,77157,17.9,20.7
26145,2017,193803,76075,17.7,21.1
26145,2018,192778,75285,17.7,21.1
26145,2019,191821,74567,18,20.8
26145,2020,191166,73966,17.6,22.1
26145,2021,190540,73725,18,22.3
26145,2022,189821,73576,18.2,22.9
26147,2013,161865,63992,14.9,15.7
26147,2014,161008,62829,15.2,16.8
26147,2015,160429,61910,14.6,17.4
26147,2016,160069,61143,14.1,17.6
26147,2017,159761,60478,13.3,18
26147,2018,159566,59868,13.3,18.3
26147,2019,159247,59381,12.7,18.6
26147,2020,159285,59015,12.4,19.1
26147,2021,160067,58963,12,19.4
26147,2022,160257,59061,11.9,19.9
26149,2013,61111,23638,17.6,14.5
26149,2014,60998,23316,17.8,14.9
26149,2015,61022,23169,17.2,14.7
26149,2016,60923,22964,16.2,15.3
26149,2017,60890,22845,15.7,15.4
26149,2018,60897,22731,15.6,15.7
26149,2019,60836,22707,14.8,16.2
26149,2020,60789,22551,14.4,16
26149,2021,60828,22590,12.6,16.4
26149,2022,60887,22704,12.9,17.2
26151,2013,42637,15438,16.8,10.6
26151,2014,42301,15108,15.6,10.7
26151,2015,42014,14847,15.7,12.3
26151,2016,41761,14594,15.7,13.1
26151,2017,41535,14395,15,13.9
26151,2018,41376,14253,15.6,14.2
26151,2019,41295,14165,15.1,14.2
26151,2020,41179,14076,14.8,14.8
26151,2021,40829,13891,14.9,14.9
26151,2022,40759,13968,15,15.3
26153,2013,8407,2736,20.7,13.3
26153,2014,8345,2631,20.2,14.1
26153,2015,8288,2597,21.4,13.2
26153,2016,8186,2513,21.5,15.7
26153,2017,8114,2468,21.4,15.2
26153,2018,8069,2452,20.5,15.8
26153,2019,8048,2439,16.7,15.6
26153,2020,8031,2423,15.6,18.9
26153,2021,8004,2396,15.4,18.7
26153,2022,8062,2361,16,20.1
26155,2013,69910,27928,15.3,12.5
26155,2014,69553,27486,15.5,12.9
26155,2015,69113,27086,14.4,15.7
26155,2016,68800,26775,14.2,15.8
26155,2017,68617,26469,13.1,16.2
26155,2018,68493,26284,11.4,17.2
26155,2019,68340,26123,10.3,17
26155,2020,68176,25900,11,17.8
26155,2021,68203,25803,10.8,18.2
26155,2022,68124,25677,11,19.2
26157,2013,55172,21183,15.7,11.5
26157,2014,54795,20731,15.3,12.4
26157,2015,54420,20312,15.7,13.9
26157,2016,54014,19972,15.8,13.8
26157,2017,53569,19587,15.9,13.8
26157,2018,53250,19346,15.4,13.6
26157,2019,52939,19168,14.2,13.5
26157,2020,52683,18957,13.1,13.5
26157,2021,53288,19110,13.3,14.2
26157,2022,53218,19169,12.3,15.3
26159,2013,75897,29206,19.4,17.2
26159,2014,75569,28705,19.2,17.2
26159,2015,75351,28358,18.8,19.5
26159,2016,75216,28062,17.5,20.3
26159,2017,75190,27919,15.8,20.6
26159,2018,75272,27817,15.5,20.9
26159,2019,75358,27780,14.9,21.7
26159,2020,75416,27761,14.8,20.8
26159,2021,75550,27775,13.7,21.4
26159,2022,75636,27775,14.2,22.2
26161,2013,348560,176543,15.4,51.1
26161,2014,351454,177407,15.2,51.6
26161,2015,354092,178356,15.4,52.6
26161,2016,358082,180648,15.2,53.2
26161,2017,361509,182254,14.5,54.3
26161,2018,365961,184803,14.2,55.2
26161,2019,367000,184801,14,55.9
26161,2020,368385,184698,13.9,56.7
26161,2021,372428,185585,13.4,57.2
26161,2022,370231,184641,13.8,57.4
26163,2013,1804507,762400,24.5,21.3
26163,2014,1790078,752864,24.8,21.5
26163,2015,1778969,745012,25,22
26163,2016,1767593,737064,24.5,22.3
26163,2017,1763822,730296,23.7,22.8
26163,2018,1761382,727426,23.1,23.3
26163,2019,1757299,723889,22.3,23.9
26163,2020,1753059,720224,21.3,25.2
26163,2021,1789781,732274,20.5,25.8
26163,2022,1781641,732036,20.2,26.5
26165,2013,32690,12397,18.6,17
26165,2014,32699,12264,18.9,16.8
26165,2015,32751,12191,17.4,16.8
26165,2016,32829,12066,18.8,16.7
26165,2017,32915,12007,17.3,17.6
26165,2018,33111,12009,16.3,17.9
26165,2019,33256,12004,14.2,18.2
26165,2020,33433,12089,13.7,19.7
26165,2021,33552,12101,13,20.2
26165,2022,33766,12171,13.3,19.9
