id,county,year,month,date,G,y_raw,y_per1k_total,y_per1k_18_49,y_per100_lf,y_log_raw,y_log_per1k_total,y_log_per1k_18_49,y_log_per100_lf,y_log1p_raw,y_log1p_per1k_total,y_log1p_18_49,y_log1p_per100_lf
26049,Genesee,2015,1,2015-01-01,2018-07,57351,137.90474999639312,345.3069776683305,31.717878948765595,10.956945559197129,4.926563229430059,5.844433811745587,3.4568805265852873,10.956962995532708,4.933788446413837,5.847325600406454,3.4879216853291304
26049,Genesee,2015,2,2015-02-01,2018-07,57381,137.97688723026684,345.4876058932969,31.919829111177865,10.957468517058643,4.927086187291574,5.844956769607102,3.4632274189074357,10.957485944278218,4.934307640385876,5.847847048562502,3.4940751847619165
26049,Genesee,2015,3,2015-03-01,2018-07,57407,138.03940616629077,345.6441503549345,31.9046533987651,10.957921526091724,4.9275391963246555,5.845409778640183,3.4627518737215772,10.957938945418467,4.934757390552055,5.84829875045868,3.493614088461483
26049,Genesee,2015,4,2015-04-01,2018-07,57312,137.8109715923573,345.07216097587406,31.801837794646424,10.956265304860437,4.925882975093369,5.843753557408896,3.4595240804007004,10.956282753061092,4.933113091003177,5.846647311046324,3.490484544145044
26049,Genesee,2015,5,2015-05-01,2018-07,57232,137.61860563536072,344.59048570929696,31.25877295989426,10.9548684614988,4.9244861317317294,5.842356714047257,3.44230007150041,10.954885934088674,4.931726317539815,5.84525450677461,3.473790036012557
26049,Genesee,2015,6,2015-06-01,2018-07,56999,137.05833978560813,343.187606495391,31.292513272101413,10.950789002803143,4.920406673036073,5.838277255351601,3.4433788763503794,10.950806546816688,4.9276763478923495,5.84118687643363,3.4748354161203543
26049,Genesee,2015,7,2015-07-01,2018-07,56837,136.66879872269004,342.2122140805722,31.51762840063438,10.947942801085555,4.9175604713184855,5.8354310536340135,3.4505470210623,10.947960395103589,4.924850791262758,5.838348955793396,3.4817823546105102
26049,Genesee,2015,8,2015-08-01,2018-07,56702,136.34418117025828,341.39938706822323,31.615982514246205,10.945564762462359,4.91518243269529,5.833053015010818,3.453662768498699,10.945582398369066,4.922490046665764,5.835977854161497,3.484802429407114
26049,Genesee,2015,9,2015-09-01,2018-07,56239,135.23086319414054,338.61169146290797,31.805431450837567,10.93736574538763,4.9069834156205605,5.8248539979360885,3.4596370755422177,10.937383526484547,4.914350970057833,5.827802881002742,3.490594094694429
26049,Genesee,2015,10,2015-10-01,2018-07,55674,133.87227862285212,335.20985989270685,31.176292712428182,10.927268530581234,4.896886200814165,5.814756783129693,3.4396579570232584,10.92728649212557,4.904328246343059,5.8177355480064215,3.47122993021754
26049,Genesee,2015,11,2015-11-01,2018-07,55284,132.93449458249373,332.86169296814325,30.619772916089726,10.920238814723918,4.889856484956848,5.807727067272376,3.4216459740064047,10.920256902976503,4.897350834027256,5.810726814306805,3.4537826501011963
26049,Genesee,2015,12,2015-12-01,2018-07,55003,132.25880915854322,331.16980859429094,30.583728119926157,10.915143008181603,4.884760678414535,5.802631260730062,3.420468106736699,10.915161188842836,4.892293170868613,5.8056463098289885,3.4526420550556542
26049,Genesee,2016,1,2016-01-01,2018-07,54916,132.93955312401656,335.2297699858378,30.12562400570519,10.913560024017496,4.889894537121526,5.814816177271236,3.4053761054786196,10.913578233480955,4.897388602087034,5.817794765495255,3.438031402959976
26049,Genesee,2016,2,2016-02-01,2018-07,54631,132.24963083105376,333.49001318552524,29.921022652587304,10.908356766182873,4.884691279286904,5.809612919436615,3.3985613320872523,10.908375070640925,4.892224292543458,5.812607023174978,3.431436297318057
26049,Genesee,2016,3,2016-03-01,2018-07,54335,131.53307995836258,331.68310787713045,29.707328008048066,10.902923865496952,4.879258378600982,5.804180018750693,3.3913937496524706,10.90294226967102,4.886832274329503,5.807190408898448,3.4245013234400323
26049,Genesee,2016,4,2016-04-01,2018-07,53745,130.10481977293085,328.0815060799922,29.366766295290496,10.892005918407165,4.868340431511194,5.793262071660905,3.379863636843428,10.892024524616057,4.875997154189454,5.796305458928133,3.4133487964472122
