estimate,std_error,t_value,p_value,term,event_time,outcome,urban_group,n_obs,conf_low,conf_high
-0.05775106756765531,0.09981757030579876,-0.5785661521386515,0.5673485562637965,week_start_date::-26,-26,grocery,urban,4708,-0.2533935053670209,0.13789137023171025
-0.013841653662143953,0.07660489040848313,-0.1806889036500879,0.8578686041863259,week_start_date::-25,-25,grocery,urban,4708,-0.1639872388627709,0.13630393153848297
-0.022834143869712473,0.08175161393366846,-0.27931123033533767,0.7819883758688171,week_start_date::-24,-24,grocery,urban,4708,-0.18306730717970265,0.13739901944027771
-0.032561365142258714,0.07761384540570614,-0.4195303682229977,0.6779202545882586,week_start_date::-23,-23,grocery,urban,4708,-0.18468450213744272,0.1195617718529253
-0.0354824973644589,0.08069958742460022,-0.4396862300889846,0.6634237194324681,week_start_date::-22,-22,grocery,urban,4708,-0.19365368871667535,0.12268869398775753
-0.038117189445659505,0.0729334870508617,-0.5226294667506804,0.6052022632351504,week_start_date::-21,-21,grocery,urban,4708,-0.18106682406534844,0.10483244517402943
-0.04146581228555314,0.07187346419823538,-0.5769279768008065,0.568440007043764,week_start_date::-20,-20,grocery,urban,4708,-0.1823378021140945,0.09940617754298821
-0.011901575501805008,0.07133754552611019,-0.16683466488833604,0.868658001065105,week_start_date::-19,-19,grocery,urban,4708,-0.15172316473298098,0.12792001372937095
-0.012181284748753785,0.06971878282298746,-0.1747202727230833,0.862513554712216,week_start_date::-18,-18,grocery,urban,4708,-0.14883009908180922,0.12446752958430164
0.0022593647519635615,0.04959744593155937,0.045554054438232766,0.9639779386953853,week_start_date::-17,-17,grocery,urban,4708,-0.094951629273892793,0.09947035877781991
-0.012395793758726839,0.053380628853025545,-0.23221520662217265,0.8180018292004857,week_start_date::-16,-16,grocery,urban,4708,-0.1170218263106569,0.09223023879320323
-0.002950190918690071,0.052520936733228704,-0.05617171174373891,0.9555902486789367,week_start_date::-15,-15,grocery,urban,4708,-0.10589122691581833,0.09999084507843818
-0.010639587907132037,0.05001298850743177,-0.21273649555157112,0.8330208440693515,week_start_date::-14,-14,grocery,urban,4708,-0.10866504538169831,0.08738586956743423
-0.026432731614151703,0.052264825817755205,-0.505746095975165,0.616857747415559,week_start_date::-13,-13,grocery,urban,4708,-0.1288717902169519,0.0760063269886485
-0.010790120220858075,0.04665044865804224,-0.23129724431916962,0.8187080939211232,week_start_date::-12,-12,grocery,urban,4708,-0.10222499959062087,0.08064475914890473
-0.02309855893050642,0.04986398117326044,-0.4632313422838572,0.6466563174471716,week_start_date::-11,-11,grocery,urban,4708,-0.12083196203009688,0.07463484416908406
-0.022230069071168923,0.03601240110410663,-0.617289277849178,0.5418608708255661,week_start_date::-10,-10,grocery,urban,4708,-0.09281437523521792,0.04835423709288007
0.01661633013784635,0.02587645353930652,0.6421409376136504,0.5258257486180953,week_start_date::-9,-9,grocery,urban,4708,-0.03410151879919443,0.06733417907488713
-0.012995712118948548,0.027863199354061056,-0.4664113389783584,0.6444058698127915,week_start_date::-8,-8,grocery,urban,4708,-0.06760758285290822,0.041616158615011126
1.9629080591996792e-5,0.0286309139883258,6.855904285836111e-4,0.9994576725397555,week_start_date::-7,-7,grocery,urban,4708,-0.05609696233652657,0.05613622049771057
-0.008464888890099456,0.01714311221430497,-0.49377783825249527,0.6251822980327258,week_start_date::-6,-6,grocery,urban,4708,-0.0420653888301372,0.025135611049938285
0.01636887515602191,0.025147247298692246,0.6509211509950497,0.5202220668519987,week_start_date::-5,-5,grocery,urban,4708,-0.03291972954941489,0.0656574798614587
0.02910205937947657,0.023808590597334377,1.2223344032273316,0.23142328405022497,week_start_date::-4,-4,grocery,urban,4708,-0.017562778191298808,0.07576689695025195
0.03265442610783567,0.027830623373178754,1.1733271536887588,0.2502118003801531,week_start_date::-3,-3,grocery,urban,4708,-0.021893595703594684,0.08720244791926603
0.02406084425069173,0.02727477708293306,0.8821646526213988,0.38494169919754273,week_start_date::-2,-2,grocery,urban,4708,-0.029397718831857066,0.07751940733324053
0.03861876068328833,0.017075680518632924,2.261623520137172,0.03139305296282712,week_start_date::0,0,grocery,urban,4708,0.005150426866767803,0.07208709449980885
0.055235030740451406,0.02720977817604386,2.0299699021097366,0.051622244194920834,week_start_date::1,1,grocery,urban,4708,0.0019038655154054382,0.10856619596549738
0.059571447329473295,0.030722821019817576,1.9389966595530757,0.06228754249422874,week_start_date::2,2,grocery,urban,4708,-6.452818693691506e-4,0.11978817652831575
0.0639232194414075,0.03163870740906185,2.0204118523217174,0.052661794534334894,week_start_date::3,3,grocery,urban,4708,0.001911352919646274,0.1259350859631687
0.04124986335627697,0.030670959830525375,1.3449159590767976,0.18907688428255195,week_start_date::4,4,grocery,urban,4708,-0.01886521791155276,0.1013649446241067
0.06384250412805638,0.026352929905755815,2.422596058820479,0.021886124534537022,week_start_date::5,5,grocery,urban,4708,0.012190761512774984,0.11549424674333778
0.06477081104528555,0.030087213377086298,2.1527686939134565,0.0397903671962091,week_start_date::6,6,grocery,urban,4708,0.0057998728261964075,0.1237417492643747
0.056919716613240634,0.033370263340424276,1.7057017510643637,0.09875390786697633,week_start_date::7,7,grocery,urban,4708,-0.008485999533990943,0.12232543276047221
0.05826876910432691,0.029182020592960135,1.9967352472632982,0.05531654125176383,week_start_date::8,8,grocery,urban,4708,0.0010720087421250482,0.11546552946652877
0.08628861157646678,0.044976429982857676,1.9185295855930502,0.0649361414340501,week_start_date::9,9,grocery,urban,4708,-0.001865191189934265,0.17444241434286784
0.05798894155160061,0.0314042285506067,1.8465329106286967,0.07504367800939889,week_start_date::10,10,grocery,urban,4708,-0.0035633464075885204,0.11954122951078974
0.06598193656116846,0.034099419665126904,1.9349870821598603,0.06279888419780931,week_start_date::11,11,grocery,urban,4708,-8.529259824802682e-4,0.1328167991048172
0.04359792983824328,0.039027315403461806,1.1171132164108846,0.2731159881917966,week_start_date::12,12,grocery,urban,4708,-0.03289560835254186,0.12009146802902843
0.036567415149719854,0.031457067533122746,1.1624546729035108,0.2545281667094801,week_start_date::13,13,grocery,urban,4708,-0.025088437215200723,0.09822326751464043
0.06800173046461278,0.033847192514237054,2.009080381955147,0.05391803801429914,week_start_date::14,14,grocery,urban,4708,0.0016612331367081568,0.1343422277925174
0.0582088339240069,0.0375857907244039,1.5486925458298997,0.1323008617018199,week_start_date::15,15,grocery,urban,4708,-0.015459315895824735,0.13187698374383855
0.0442755987813225,0.03395630106584249,1.3038993468537847,0.20252356847260522,week_start_date::16,16,grocery,urban,4708,-0.02227875130772878,0.11082994887037378
0.04407988349995226,0.0314566517870577,1.4012897430516802,0.1717389873433288,week_start_date::17,17,grocery,urban,4708,-0.01757515400268083,0.10573492100258536
0.04376252206256588,0.030905607830229054,1.4160058686747898,0.16742537240530536,week_start_date::18,18,grocery,urban,4708,-0.016812469284683065,0.10433751340981483
0.03405503971937593,0.03263700092199251,1.043448808325641,0.30536113747703186,week_start_date::19,19,grocery,urban,4708,-0.029913482087729384,0.09802356152648124
-0.013271856803308084,0.0412996961742353,-0.32135482903595053,0.7502462191810563,week_start_date::20,20,grocery,urban,4708,-0.09421926130480926,0.06767554769819309
0.019665954437746984,0.040829067505703066,0.4816655299560788,0.6336585771474121,week_start_date::21,21,grocery,urban,4708,-0.06035901787343103,0.09969092674892499
0.01254733024566315,0.03869493916842178,0.324262823907029,0.7480663816903126,week_start_date::22,22,grocery,urban,4708,-0.06329475052444354,0.08838941101576984
-0.03233603479550667,0.04368563767500034,-0.7401983012373738,0.4651305301554223,week_start_date::23,23,grocery,urban,4708,-0.11795988463850735,0.053287815047494004
-0.04071189170969662,0.04715511693923202,-0.8633610592496531,0.3950234795833515,week_start_date::24,24,grocery,urban,4708,-0.1331359209105914,0.05171213749119814
-0.04848070361501605,0.05561672452190476,-0.8716928951096684,0.3905356868117771,week_start_date::25,25,grocery,urban,4708,-0.15748948367794938,0.06052807644791727
-0.08988923255294978,0.08775741623353543,-1.024292150007485,0.31416608900446646,week_start_date::26,26,grocery,urban,4708,-0.26189376837067924,0.08211530326477967
-0.23802129284237192,0.0662719263387813,-3.5915855474852183,7.286228445528584e-4,week_start_date::-26,-26,grocery,rural,8320,-0.3679142684663833,-0.10812831721836055
-0.18186659107107087,0.053453220635502306,-3.4023504834483176,0.0012924586309380013,week_start_date::-25,-25,grocery,rural,8320,-0.2866349035166554,-0.07709827862548635
-0.2385469641120463,0.0566912003987963,-4.2078305351444145,1.0218699046888305e-4,week_start_date::-24,-24,grocery,rural,8320,-0.349661716893687,-0.12743221133040555
-0.11080191170204133,0.05382739583011648,-2.058466882769899,0.044571921049387,week_start_date::-23,-23,grocery,rural,8320,-0.21630360752906963,-0.005300215875013031
-0.13493210339810266,0.06444250415754332,-2.093837059283615,0.04116747228273638,week_start_date::-22,-22,grocery,rural,8320,-0.26123941154688757,-0.008624795249317752
-0.075705627575147455,0.06793397892548103,-1.1144000215001597,0.270231928677993,week_start_date::-21,-21,grocery,rural,8320,-0.20885622626909028,0.057444971118795374
-0.09206034920216531,0.045672227426337315,-2.0156746099288747,0.04901520062278835,week_start_date::-20,-20,grocery,rural,8320,-0.18157791495778647,-0.0025427834465441695
-0.03575837870457332,0.04352834674110178,-0.8214963668906899,0.4151142356025489,week_start_date::-19,-19,grocery,rural,8320,-0.12107393831713281,0.04955718090798617
-0.1601316261914117,0.04841326935406824,-3.3075978616584707,0.0017117910203577286,week_start_date::-18,-18,grocery,rural,8320,-0.2550216341253855,-0.06524161825743793
-0.04781204886487661,0.04222175008513313,-1.1324032937637964,0.2626596892206012,week_start_date::-17,-17,grocery,rural,8320,-0.13056667903173755,0.03494258130198433
-0.06406939743535923,0.04190531237126902,-1.5289087184871166,0.13234790172836497,week_start_date::-16,-16,grocery,rural,8320,-0.14620380968304653,0.018065014812328042
-0.07354150982490339,0.042176855911169917,-1.7436460882667881,0.08713064342971234,week_start_date::-15,-15,grocery,rural,8320,-0.15620814741079642,0.009125127760989643
-0.07045692632709717,0.040541016802480394,-1.737917099375427,0.08814470856882649,week_start_date::-14,-14,grocery,rural,8320,-0.14991731925995874,0.009003466605764399
-0.07639693096355463,0.04022259418497167,-1.8993536471622892,0.06307137783584997,week_start_date::-13,-13,grocery,rural,8320,-0.1552332155660991,0.0024393536389898524
-0.061008576331219824,0.03504644759686457,-1.7407920207204668,0.08763461289183076,week_start_date::-12,-12,grocery,rural,8320,-0.1296996136210744,0.007682460958634743
-0.07570981375508556,0.04900227844867103,-1.5450263977906697,0.12840456448400578,week_start_date::-11,-11,grocery,rural,8320,-0.17175427951448077,0.020334652004309645
-0.017668381414298606,0.04283768532273405,-0.4124494888364559,0.68170554976655,week_start_date::-10,-10,grocery,rural,8320,-0.10163024464685734,0.06629348181826013
0.05516054588846627,0.092257897406237,0.5978951118469474,0.5525051001637235,week_start_date::-9,-9,grocery,rural,8320,-0.12566493302775822,0.23598602480469077
-0.024264837248080387,0.03591578390624468,-0.6756037209551607,0.5022858198319327,week_start_date::-8,-8,grocery,rural,8320,-0.09465977370431997,0.04613009920815919
-0.09878477213319095,0.04559953744088211,-2.1663546973751933,0.03488966484124661,week_start_date::-7,-7,grocery,rural,8320,-0.1881598655173199,-0.009409678749062012
