event_time,estimate,se,ci_lower,ci_upper
-6,-0.001522569457608841,0.00575951509267639,-0.012811219039254565,0.009766080124036883
-5,-0.0014352889027154925,0.0024719984242120175,-0.006280405814171047,0.003409828008740062
-4,-0.0015769475338659467,0.0027258186365417976,-0.00691955206148787,0.003765656993755977
-3,0.0012888593780553403,0.0018600133327088938,-0.0023567667540540915,0.004934485510164772
-2,-0.0020095710160329405,0.001349367410285811,-0.00465433114019313,6.351891081272489e-4
0,-0.01752960751631716,0.0030313361676484528,-0.023471026404908127,-0.01158818862772619
1,-0.026511901938079896,0.0045315805093942806,-0.03539379973649269,-0.017630004139667105
2,-0.03219807131051303,0.004744478732009592,-0.04149724962525182,-0.022898892995774228
3,-0.04148713582729713,0.005399758258514142,-0.052070662013984845,-0.03090360964060941
4,-0.05065612381424775,0.0047585023874489605,-0.059982788493647715,-0.041329459134847785
5,-0.057218692151928235,0.005241683059736313,-0.06749239094901141,-0.04694499335484506
6,-0.09618726684818704,0.008289261246989652,-0.11243421889228676,-0.07994031480408732
