spec,att,se
main,-0.39194233193953903,0.11705496816036809
drop_small,-0.22246540946145205,0.12614164284996132
alt_Y,-0.3633937463039636,0.1159380100592701
window_2015_2018,-0.3162354721455223,0.08551975001339097
nevertreated,NA,NA
drop_big,NA,NA
placebo,-0.09801319723623307,0.05000493582570294
