id,att_hat,att_base
26001,-0.04525351298780499,-0.06046919819452699
26003,-0.06292027087051295,-0.06046919819452699
26005,-0.08072824623798686,-0.06046919819452699
26007,-0.046078144239739535,-0.06046919819452699
26009,-0.09176811547130836,-0.06046919819452699
26011,-0.017783870145924217,-0.06046919819452699
26013,-0.042309925404404716,-0.06046919819452699
26015,-0.07996885073863483,-0.06046919819452699
26017,-0.05803299232165138,-0.06046919819452699
26019,-0.09663292678600324,-0.06046919819452699
26021,-0.07773798903631124,-0.06046919819452699
26023,-0.031157241340260704,-0.06046919819452699
26025,-0.058540512477839084,-0.06046919819452699
26027,-0.056194792647282304,-0.06046919819452699
26029,-0.10497445429933536,-0.06046919819452699
26031,-0.04646851766526944,-0.06046919819452699
26033,-0.04946038736438,-0.06046919819452699
26035,-0.006046919819452699,-0.06046919819452699
26037,-0.11416523727119282,-0.06046919819452699
26039,-0.049768843637949756,-0.06046919819452699
26041,-0.05684241440577698,-0.06046919819452699
26043,-0.07929353834116057,-0.06046919819452699
26045,-0.09929107878248317,-0.06046919819452699
26047,-0.1299557717059399,-0.06046919819452699
26049,-0.04085359391837609,-0.06046919819452699
26051,-0.01912083211387066,-0.06046919819452699
26053,-0.037073794435969545,-0.06046919819452699
26055,-0.12409615554811843,-0.06046919819452699
26057,-0.028979885158460263,-0.06046919819452699
26059,-0.034313564610774484,-0.06046919819452699
26061,-0.07707865500074429,-0.06046919819452699
26063,-0.04876120165779841,-0.06046919819452699
26065,-0.0974640724582386,-0.06046919819452699
26067,-0.04873189852138388,-0.06046919819452699
26069,-0.04195318701512465,-0.06046919819452699
26071,-0.05711410339570793,-0.06046919819452699
26073,-0.05369723536484534,-0.06046919819452699
26075,-0.05814741964990883,-0.06046919819452699
26077,-0.10898290201576247,-0.06046919819452699
26079,-0.03315870391108024,-0.06046919819452699
26081,-0.11293091556193774,-0.06046919819452699
26083,-0.07436223478393018,-0.06046919819452699
26085,-0.006046919819452699,-0.06046919819452699
26087,-0.07386161634499053,-0.06046919819452699
26089,-0.14674837630159787,-0.06046919819452699
26091,-0.06587460443351413,-0.06046919819452699
26093,-0.14107190831992786,-0.06046919819452699
26095,-0.01990862128967258,-0.06046919819452699
26097,-0.05737818763092051,-0.06046919819452699
26099,-0.08877422042977422,-0.06046919819452699
26101,-0.05836859475921153,-0.06046919819452699
26103,-0.0914639163050801,-0.06046919819452699
26105,-0.06082503826316698,-0.06046919819452699
26107,-0.04232842572371161,-0.06046919819452699
26109,-0.047564134869664605,-0.06046919819452699
26111,-0.11938079471788435,-0.06046919819452699
26113,-0.03809789343801712,-0.06046919819452699
26115,-0.07598162274391494,-0.06046919819452699
26117,-0.028763173578993363,-0.06046919819452699
26119,-0.02818218467052827,-0.06046919819452699
26121,-0.0408721510751897,-0.06046919819452699
26123,-0.03121264057320694,-0.06046919819452699
26125,-0.14600824099652973,-0.06046919819452699
26127,-0.03419955910499925,-0.06046919819452699
26129,-0.011985166818343475,-0.06046919819452699
26131,-0.05104314864822,-0.06046919819452699
26133,-0.011711246063494628,-0.06046919819452699
26135,-0.011597165765225556,-0.06046919819452699
26137,-0.0725001707779473,-0.06046919819452699
26139,-0.12461385925393079,-0.06046919819452699
26141,-0.059768345314834735,-0.06046919819452699
26143,-0.024309665219053964,-0.06046919819452699
26145,-0.05487276795127799,-0.06046919819452699
26147,-0.05878945301861517,-0.06046919819452699
26149,-0.04083928489141045,-0.06046919819452699
26151,-0.03637097986702297,-0.06046919819452699
26153,-0.021200301759297206,-0.06046919819452699
26155,-0.05177665447353465,-0.06046919819452699
26157,-0.04062431743937902,-0.06046919819452699
26159,-0.051539088157335974,-0.06046919819452699
26161,-0.12493615348753162,-0.06046919819452699
26163,-0.034904117801381286,-0.06046919819452699
26165,-0.041752106767576666,-0.06046919819452699
