estimate,std_error,t_value,p_value,term,event_time,outcome,conf_low,conf_high
-0.2197178027066501,0.06693453351716917,-3.282577634612049,0.0015128281008447205,week_start_date::-26,-26,grocery,-0.3509094884003017,-0.0885261170129985
-0.11253355428849252,0.05217897578657436,-2.1566838480844113,0.033958773645900726,week_start_date::-25,-25,grocery,-0.21480434683017824,-0.010262761746806778
-0.15610945912011268,0.05725390991756469,-2.7266165637400515,0.007822999490335807,week_start_date::-24,-24,grocery,-0.26832712255853947,-0.043891795681685886
-0.15877893266432144,0.05743406919681112,-2.764542629222887,0.007038434699636019,week_start_date::-23,-23,grocery,-0.2713497082900712,-0.046208157038571646
-0.16324588983866944,0.06312463943101618,-2.5860882740893545,0.011474715400578563,week_start_date::-22,-22,grocery,-0.2869701831234611,-0.03952159655387774
-0.1654700045344443,0.060274016496132926,-2.745295803292959,0.007427123720050749,week_start_date::-21,-21,grocery,-0.2836070768668648,-0.04733293220202377
-0.1840452167924583,0.054232572395243664,-3.393628748626343,0.0010645851077132177,week_start_date::-20,-20,grocery,-0.2903410586871359,-0.07774937489778072
-0.1320664023489466,0.055576146385125355,-2.376314497118379,0.01981732960361049,week_start_date::-19,-19,grocery,-0.2409956492637923,-0.0231371554341009
-0.18808270205183356,0.05664702725866726,-3.3202572342056316,0.0013439101897905986,week_start_date::-18,-18,grocery,-0.29911087547882137,-0.07705452862484573
-0.09942486211284347,0.043674755135116185,-2.2764835613904117,0.02542340877048082,week_start_date::-17,-17,grocery,-0.18502738217767117,-0.01382234204801576
-0.10701011954416495,0.04392904571835285,-2.435976420481582,0.01701838523908882,week_start_date::-16,-16,grocery,-0.19311104915213653,-0.020909189936193368
-0.12256129417481951,0.043989759166783174,-2.786132420278536,0.006624625518178848,week_start_date::-15,-15,grocery,-0.20878122214171452,-0.03634136620792448
-0.10823825794031186,0.04110465989839708,-2.6332357014473855,0.010105976634251113,week_start_date::-14,-14,grocery,-0.18880339134117013,-0.027673124539453586
-0.13091704610848537,0.04141906981754289,-3.1607915553196695,0.002204990407561599,week_start_date::-13,-13,grocery,-0.21209842295086945,-0.049735669266101304
-0.08167157016735155,0.03752798878400771,-2.1762842298161025,0.03241100408144991,week_start_date::-12,-12,grocery,-0.15522642818400667,-0.00811671215069644
-0.08476180379031778,0.043472476305304694,-1.949780895733671,0.05462001523859606,week_start_date::-11,-11,grocery,-0.16996785734871497,4.442497680794133e-4
