dropped_cohort,dropped_G,n_treated_counties_remaining,att,se,ci_lower,ci_upper
None (baseline),NA,83,-0.06046919819452699,0.010323761947202153,-0.08070377161104321,-0.040234624778010764
2017-01,24205,79,-0.032744911525002696,0.004025938923569299,-0.04063575181519852,-0.02485407123480687
2018-01,24217,73,-0.06976649258394434,0.013484664386924196,-0.09619643478231577,-0.04333655038557291
2018-07,24223,15,-0.063923770020665,0.01002647729486507,-0.08357566551860054,-0.04427187452272946
2018-10,24226,82,-0.2137546656280002,0.12591761263186946,-0.46055318638646436,0.033043855130463956
