id,county,baseline_outcome_log,baseline_y_raw,baseline_y_per1k_18_49,n_months,last_date,unemp_last,pop_18_49,att_hat,att_county,share_55_64,scenario,share_affected,att_used,baseline_log_scen,delta_log,obba_outcome_log,obba_y_per1k,baseline_y_per1k_scen,obba_y_raw_approx,baseline_y_raw_scen,pct_change_log,forecast_date,unemp_scenario,compliance_mult,att_scenario,baseline_outcome_log_scenario,share_55_64_scenario
26001,Alcona,5.760090344305721,790.5,317.7250803858521,12,2019-12-01,6.7,2488,-0.04525351298780499,-0.04525351298780499,0.3925268918663899,baseline,0.3925268918663899,-0.04525351298780499,5.760090344305721,-0.0177632207991384,5.742327123506582,310.7891392232486,316.3770008274506,773.2433783874425,787.1459780586971,-1.7763220799138402,2026-01-01,NA,NA,NA,NA,NA
26003,Alger,4.977004843448415,471.1666666666667,145.10830510214555,12,2019-12-01,8.9,3247,-0.06292027087051295,-0.06292027087051295,0.29901960784313725,baseline,0.29901960784313725,-0.06292027087051295,4.977004843448415,-0.018814394721084756,4.95819044872733,141.33599843136082,144.03931497796157,458.9179869066286,467.69565573344124,-1.8814394721084755,2026-01-01,NA,NA,NA,NA,NA
26005,Allegan,4.625496482410159,4510.916666666667,102.06848436851831,12,2019-12-01,2.9,44195,-0.08072824623798686,-0.08072824623798686,0.24229902329075884,baseline,0.24229902329075884,-0.08072824623798686,4.625496482410159,-0.01956037521544009,4.605936107194719,99.0766214599175,101.05342823897921,4378.691285421054,4466.056261021686,-1.9560375215440091,2026-01-01,NA,NA,NA,NA,NA
26007,Alpena,5.565584017173508,2545.6666666666665,261.4963191234378,12,2019-12-01,4.4,9735,-0.04607814423973953,-0.04607814423973953,0.2943432406519655,baseline,0.2943432406519655,-0.04607814423973953,5.565584017173508,-0.01356279029875363,5.552021226874754,256.75801717493073,260.2777498536188,2499.5392971979504,2533.8038948249787,-1.3562790298753629,2026-01-01,NA,NA,NA,NA,NA
26009,Antrim,5.041853991072351,1085.6666666666667,154.85189939618695,12,2019-12-01,4.7,7011,-0.09176811547130836,-0.09176811547130836,0.3215655577299413,baseline,0.3215655577299413,-0.09176811547130836,5.041853991072351,-0.029509465233356926,5.012344525838994,149.25660399678728,153.75666669740613,1046.4380506214757,1077.9879902155144,-2.9509465233356926,2026-01-01,NA,NA,NA,NA,NA
26011,Arenac,5.615373837260325,1321.5833333333333,274.7003394997575,12,2019-12-01,6.2,4811,-0.01778387014592421,-0.01778387014592421,0.3232416254172902,baseline,0.3232416254172902,-0.01778387014592421,5.615373837260325,-0.0057484870921785634,5.609625350168146,272.0419237291263,273.6160217095845,1308.7936950608268,1316.366680444811,-0.5748487092178564,2026-01-01,NA,NA,NA,NA,NA
26013,Baraga,5.153513966810266,553.9166666666666,173.09895833333334,12,2019-12-01,6.7,3200,-0.04230992540440471,-0.04230992540440471,0.2532441997640582,baseline,0.2532441997640582,-0.04230992540440471,5.153513966810266,-0.010714743201115467,5.14279922360915,170.19430938971695,172.03847468775433,544.6217900470942,550.5231190008138,-1.0714743201115466,2026-01-01,NA,NA,NA,NA,NA
26015,Barry,4.7030333290414355,2448.3333333333335,110.29025331471388,12,2019-12-01,3.2,22199,-0.07996885073863483,-0.07996885073863483,0.26142398760787783,baseline,0.26142398760787783,-0.07996885073863483,4.7030333290414355,-0.020905775844513103,4.682127553196922,106.99960321658077,109.28118473181408,2375.2841918048766,2425.9330198615407,-2.09057758445131,2026-01-01,NA,NA,NA,NA,NA
26017,Bay,5.3707359362766836,8407.083333333334,215.12495735243945,12,2019-12-01,4.3,39080,-0.05803299232165138,-0.05803299232165138,0.25772650805094927,baseline,0.25772650805094927,-0.05803299232165138,5.3707359362766836,-0.01495664046280676,5.355779295813877,210.8289894922877,214.0210512825687,8239.196909358603,8363.942684122783,-1.495664046280676,2026-01-01,NA,NA,NA,NA,NA
26019,Benzie,5.0410040836304875,853.3333333333334,154.98244339508415,12,2019-12-01,5.4,5506,-0.09663292678600324,-0.09663292678600324,0.31272912423625254,baseline,0.31272912423625254,-0.09663292678600324,5.0410040836304875,-0.030219930566172705,5.010784153064315,149.0223305072158,153.62519373254167,820.5169517727302,845.8603166913744,-3.0219930566172706,2026-01-01,NA,NA,NA,NA,NA
26021,Berrien,5.1700420935466305,10146.916666666666,175.94182040967308,12,2019-12-01,3.6,57672,-0.07773798903631124,-0.07773798903631124,0.2486528268551237,baseline,0.2486528268551237,-0.07773798903631124,5.1700420935466305,-0.0193297707279114,5.150712322818719,171.5543609586582,174.92224251933095,9893.883105207735,10088.115570574855,-1.9329770727911402,2026-01-01,NA,NA,NA,NA,NA
26023,Branch,5.030432676674395,2474.5,153.03030303030303,12,2019-12-01,3.3,16170,-0.0311572413402607,-0.0311572413402607,0.2535288367546432,baseline,0.2535288367546432,-0.0311572413402607,5.030432676674395,-0.007899259153479976,5.022533417520915,150.7953781488768,151.99919756024408,2438.3612646673378,2457.8270245491467,-0.7899259153479976,2026-01-01,NA,NA,NA,NA,NA
26025,Calhoun,5.376299745621973,11379,216.28556765695387,12,2019-12-01,3.6,52611,-0.05854051247783908,-0.05854051247783908,0.23284934893069825,baseline,0.23284934893069825,-0.05854051247783908,5.376299745621973,-0.013631120216534245,5.362668625405439,212.293387787161,215.22072169109822,11168.967424870327,11322.97738889037,-1.3631120216534245,2026-01-01,NA,NA,NA,NA,NA
