outcome,spec,n_obs,pre_mean,post_mean,post_sig_share,post_minus_pre
grocery,weekly_baseline,13029,-0.07705208342081593,0.014080533469471183,0.6666666666666666,0.09113261689028712
fast_food,weekly_baseline,13029,-0.04376796537480485,0.028736833943790424,0.5925925925925926,0.07250479931859527
grocery,weekly_window12,13029,0.011081768973286896,0.07237688810259224,0.8461538461538461,0.061295119129305346
fast_food,weekly_window12,13029,0.02284154506908118,0.08204160169176065,0.8461538461538461,0.05920005662267948
grocery,weekly_county_trend,13029,-0.07712116928331693,0.014156243170588853,0.6666666666666666,0.09127741245390578
fast_food,weekly_county_trend,13029,-0.05242972558406234,0.03805765474834098,0.5185185185185185,0.09048738033240332
grocery,monthly_agg,2987,-0.18817829543126607,-0.11495456015223954,0.8571428571428571,0.07322373527902654
fast_food,monthly_agg,2987,-0.14945103260500783,-0.0583672539748139,0.8571428571428571,0.09108377863019393
