moderator,estimate,std.error,statistic,p.value
cohort_24205,-0.028953562295614462,0.03463328041897068,-0.8360040384668528,0.40558213379903796
cohort_24217,-0.038508247156017916,0.015749782888775786,-2.4450017773553654,0.016627231466360314
cohort_24223,-0.012903892815302208,0.00783173995585733,-1.647640612179856,0.10325337134053685
cohort_24226,1.2695933824148295e-4,0.010871165063568656,0.011678540202369648,0.9907104517789862
avg_bachelor,-0.029309300361302137,0.008782849252162226,-3.337106162227088,0.0012742568729487472
avg_poverty,0.01630503585780221,0.0053369966660589616,3.0550957547894555,0.0030349839871187416
