lag,estimate,se,ci_lower,ci_upper
0,0.002747167627300464,5.157944099343588e-4,0.001736210583829121,0.0037581246707718073
1,4.476995096390608e-4,3.1999176271611465e-4,-1.7948434528452395e-4,0.0010748833645626455
2,-3.932801616809319e-4,2.981596454384925e-4,-9.776730667403772e-4,1.9111274337851343e-4
3,4.4742834946780456e-5,2.476303260851291e-4,-4.4061260418007257e-4,5.300982740736335e-4
4,6.261420827707864e-4,2.434056196471843e-4,1.4906706826230522e-4,0.0011032170972792676
5,3.217300472978713e-4,2.9404665660675064e-4,-2.5460139965135994e-4,8.980614942471026e-4
6,0.001795240543557707,4.8162159193667194e-4,8.512622233618299e-4,0.002739218863753584
