scenario,n_counties,mean_delta_log,mean_pct_change,sum_baseline_y_raw,sum_obba_y_raw,total_loss_approx,loss_ci_lo,loss_ci_hi
baseline,83,-0.015974132377310102,-1.5974132377310104,685010.1843850442,675092.5996278443,-9917.584757199522,-12651.77258621355,-7263.354087727267
recession,83,-0.01819604389063787,-1.819604389063787,756717.5169741117,743277.1238084232,-13440.39316568858,NA,NA
recovery,83,-0.013283724318433127,-1.3283724318433126,641000.8809330093,633195.7786191322,-7805.102313877371,NA,NA
