cohort_label,n_counties,mean_unemployment_rate,mean_y_per1k_18_49,mean_poverty_rate,mean_bachelor_share,mean_svi_total,mean_urban_dummy
G=2017-01,4,3.875,114.1641381655562,12.63888888888889,40.58888888888889,0.3045611111111111,1
G=2018-01,10,4.374444444444444,151.2274975084978,13.446666666666667,27.45,0.32696555555555556,0.9
G=2018-07,68,6.652287581699347,265.02318801605566,17.123856209150325,18.244607843137256,0.529589705882353,0.2352941176470588
G=2018-10,1,6.7555555555555555,370.1425059043283,24.755555555555556,22.07777777777778,1,1
