outcome,parameter,estimate,std_error,t_value,p_value,conf_low,conf_high,n_obs
grocery,post,-0.1783025221152933,0.13122747901681267,-1.3587285487092946,0.17795851066574744,-0.4355083809882461,0.07890333675765954,17422
grocery,t,-3.7482867395794735e-5,5.106917138397857e-5,-0.7339627093999388,0.46506494780819696,-1.3757844330839272e-4,6.261270851680327e-5,17422
grocery,post_t,6.822245618140303e-5,5.8965519787641066e-5,1.156988972998118,0.2506362068896176,-4.7349962602373445e-5,1.837948749651795e-4,17422
fast_food,post,0.12986656300093727,0.07052719475963161,1.8413686159437375,0.0691836031471666,-0.008366738727940692,0.26809986472981523,17422
fast_food,t,1.0949126205006974e-4,3.035594335395082e-5,3.606913505319197,5.311767330509981e-4,4.9993613076326136e-5,1.6898891102381334e-4,17422
fast_food,post_t,-7.427010669840042e-5,3.3360415501299e-5,-2.226294414573717,0.028737663619659754,-1.3965652108094645e-4,-8.883692315854374e-6,17422
