outcome,lag_max,cumulative_effect,cumulative_se,cumulative_ci_lower,cumulative_ci_upper,n_obs
total_visits_log1p,6,-0.03753081519058975,0.03464013640825197,-0.1054254825507636,0.030363852169584107,1494
grocery_visits_log1p,6,-0.12713486258940207,0.05381987916467207,-0.23262182575215934,-0.021647899426644815,1494
fast_food_visits_log1p,6,0.011405509107291205,0.03396736231700871,-0.05517052103404587,0.07798153924862827,1494
convenience_visits_log1p,6,-0.1011961154554744,0.12113762042900103,-0.3386258514963164,0.13623362058536764,1494
fast_food_share,6,0.0062387441012123415,0.005882952713256829,-0.005291843216771043,0.017769331419195726,1494
convenience_share,6,-0.006153368840309519,0.002347404803257418,-0.010754282254694058,-0.0015524554259249796,1494
