clustering,att,se,n_obs,n_counties,n_periods,t_stat,p_value,ci_lower,ci_upper,sig
County only (baseline),-0.0612635619061868,0.006217928738043334,5229,83,63,-9.852728213393018,0,-0.07345070223275174,-0.049076421579621866,***
County + Time (two-way),-0.0612635619061868,0.010022903851618708,5229,83,63,-6.112356539895639,9.817053836513878e-10,-0.08090845345535946,-0.04161867035701414,***
HC1 (heteroskedasticity-robust),-0.0612635619061868,0.003717065223524525,5229,83,63,-16.481702155362402,0,-0.06854900974429487,-0.05397811406807873,***
