estimator,att,se,ci_lower,ci_upper,n_obs,n_subexperiments
Stacking CDLZ (county cluster),-0.05111140181728317,0.005808715842275919,-0.06249648486814397,-0.039726318766422374,1948,2
Stacking CDLZ (county+cohort cluster),-0.05111140181728317,0.013356176843858805,-0.07728950843124643,-0.024933295203319914,1948,2
CS-DID (baseline),-0.06046919819452699,0.010237856098934494,-0.08053539614843859,-0.04040300024061538,5229,NA
