type,n_comparisons,avg_estimate,total_weight,min_estimate,max_estimate
Earlier vs Later Treated,6,-0.09301466430310443,0.641039543121521,-0.14588901488408804,-0.03294451153913575
Later vs Earlier Treated,6,-0.00456173922876998,0.358960456878479,-0.011071614409328434,0.0029734853788310725
