cid,pct_male_final,pct_age_65plus,median_age_final,pct_black_final,pct_asian_final,pct_hispanic_final,pct_bachelors_plus,pct_foreign_born,pct_non_english_home,pct_married_hh,pct_single_parent,lfpr,emp_rate,income_avg,pov_le_130fpl_share,homeownership_rate,vacancy_rate,median_home_value,median_rent_final,pct_rent_burdened_final,tau_i_deviation,tau_i_total,pct_change
26001,-0.429033109376296,-26.7499260933308,-0.457743656356318,1.50332111982023,-0.26771375435181,-0.221392070072893,16.3511190766784,2.49023023654975,-70.1215908726398,-0.474606353527665,-0.462458623624006,-2.02176177626424,0.634373197171067,-0.167766388434799,-0.207901459150058,-1.38407653260477,1.65403405782418,0.158619606292418,-0.0156776618593068,-0.401595277820681,0.000106482009537153,-0.395263620192316,-32.6497533005794
26003,-0.430372749805244,-26.7883136342533,-0.457571906459932,29.6111262063154,-0.282910639470212,-0.219225544854982,13.7519213031098,3.00699716104809,-70.201072919647,-0.500622622321871,-0.468404885685124,-1.95929397109477,1.2195003379486,0.35064251729458,-1.02470584425559,-1.33639898587651,1.43853655295295,0.737752289512526,-0.267137945602668,-0.406897838838877,0.00468096072343273,-0.390689141478421,-32.3409552741664
26005,0.000510241041549714,-27.0790379206116,-0.304386439219111,69.031915038861,2.83903862207014,-0.207742306660715,15.221964451106,2.89737102522374,-70.3462932920571,-0.267792867620834,-0.329395583978441,0.974875750698606,2.49858236525913,2.59063294274406,-1.59164312420587,1.40311123808493,-0.751408106454822,2.0986214076799,1.8976525969702,-0.153639221667384,-0.0167687534279541,-0.412138855629808,-33.7767685017562
26007,-0.356743543756206,-26.9656934476793,-0.434136337634981,7.96388174729824,-0.20722565989039,-0.219929829185638,15.8522034192365,1.61953854482845,-70.7779448294983,-0.427838408784395,-0.436823408462048,0.0194250823073049,0.890953939724959,-0.124129614238672,-0.0853645220981767,0.59718305070005,-0.431678478368718,-0.212348081208016,-0.80354004878892,-0.333596065617606,0.00254939324028904,-0.392820708961564,-32.4850214958597
26009,-0.377354917775655,-26.942751723487,-0.441097069284704,3.68979496645714,-0.0399102005818828,-0.219499142299419,15.7385871857011,3.0457583756998,-70.5067936920345,-0.454939842212192,-0.444667298276345,-0.114772324230891,1.80646088559321,1.62990582584483,-1.30837261298608,-0.59670933166026,0.977965467719303,1.7476087721526,1.08816671823464,-0.373780420380045,-0.00742076108632696,-0.40279086328818,-33.1548117465127
26011,-0.409332025900779,-26.8964540312778,-0.449794171418526,3.13123081121229,-0.287701775665175,-0.220839638869293,16.1274621270234,1.04444240241094,-70.6798659427196,-0.473138262322478,-0.456605320045587,-0.575476100272717,0.388066449767356,0.0877316095475887,-0.103077189349654,0.0371449998478078,0.364370545505198,-0.401757508952946,-0.617996538454013,-0.380753005064112,-0.00717467134698428,-0.402544773548838,-33.1383598073154
26013,-0.433059482663813,-26.8069153960813,-0.457337251496059,35.2742088068362,-0.278418949287432,-0.217373634880196,13.2772296369153,2.58640995320936,-70.8467324096256,-0.506756936653972,-0.468897778527156,-1.75840876688453,1.47833081157478,0.154347090444628,-0.264676100499873,-0.72510727071203,0.768097464144877,-0.244952237164109,-1.27576920855107,-0.380734134740205,4.75862775833934e-05,-0.39532251592427,-32.6537198258492
26015,-0.223863193728768,-27.0424943675817,-0.388024826330355,14.9599389837868,0.44781249176484,-0.216275317866403,15.4574706864926,2.32903352836201,-70.9683076072319,-0.367220026563379,-0.396407299103099,0.86092691545785,1.50941877384424,2.55804766544448,-2.06670724973089,1.58600921111605,-0.892657461236139,1.98925027582719,2.0319275057652,-0.257614706401377,-0.0179855150731637,-0.413355617275017,-33.8572973876999
26017,-0.0584422496790499,-27.02784792737,-0.342153116767851,71.0157240150108,0.449983475353184,-0.210970058329776,15.7263833859281,1.06230428432645,-70.8282425809193,-0.208183538471814,-0.33372135869705,0.471259032694323,1.22784402362538,0.690567996718846,-0.475874205621435,1.32070305744087,-1.16320863230865,-0.172656065261468,0.173004742447431,-0.00763952558990599,-0.00172749344035411,-0.397097595642208,-32.7731588036496
26019,-0.399685411027632,-26.92250181251,-0.447130808985348,2.84453416515741,-0.153250516193999,-0.220177245056445,15.7026249498414,3.54570342795863,-70.7862159084872,-0.474040939222401,-0.456020659771892,0.0903166649721444,1.65330511976821,2.09510203673119,-1.53319542823494,-0.524689721405934,1.01254324080441,2.59640726700956,1.39926598744279,-0.393245159491318,-0.00805304738406858,-0.403423149585922,-33.1970636840471
