outcome,urban_group,pre_mean,post_mean,post_minus_pre,post_sig_share,n_obs,urban_minus_rural
fast_food,rural,-0.05999664889847912,0.09412873622418456,0.1541253851226637,0.8148148148148148,8320,-0.1262486593017078
fast_food,urban,-0.05229043429516137,-0.024413708474205507,0.027876725820955864,0,4708,-0.1262486593017078
grocery,rural,-0.05600975584361274,0.01762818578469262,0.07363794162830536,0.4074074074074074,8320,-0.02957168007038171
grocery,urban,-0.011002108566154203,0.03306415299176945,0.044066261557923654,0.1111111111111111,4708,-0.02957168007038171
